|11111111|561|9.00|DS|
|11111111|561|7.00|EX|
|11111111|124|0.50|EX|
|11111111|124|8.50|DS|
|11111111|116|8.50|DS|
|11111111|116|7.50|EX|
|11111111|123|6.00|EX|
|11111111|123|6.00|DS|
|11111111|565|5.50|DS|
|11111111|565|5.00|EX|
|11111111|552|6.50|EX|
|11111111|552|6.00|DS|
|11111111|557|4.50|DS|
|11111111|557|3.00|EX|
|11111111|113|10.00|EX|
|11111111|113|9.00|DS|
|11111111|524|16.00|DS|
|11111111|524|11.00|EX|
|11111111|555|10.00|EX|
|11111111|555|8.00|DS|
|11111111|111|7.00|EX|
|11111111|111|3.50|DS|
|11111111|559|4.00|DS|
|11111111|559|7.50|EX|
|11111111|108|11.00|EX|
|11111111|108|7.50|DS|
|11111111|505|7.50|EX|
|11111111|505|7.50|DS|
|11111111|499|13.50|DS|
|11111111|499|11.50|EX|
|11111111|495|9.50|EX|
|11111111|495|7.50|DS|
|11111111|497|3.50|DS|
|11111111|497|6.50|EX|
|11111111|514|18.00|EX|
|11111111|514|11.75|DS|
|11111111|508|8.50|EX|
|11111111|508|16.00|DS|
|11111111|507|10.00|DS|
|11111111|507|2.50|EX|
|11111111|500|5.50|EX|
|11111111|500|13.50|DS|
|11111111|504|13.00|EX|
|11111111|504|12.50|DS|
|11111111|498|7.50|EX|
|11111111|498|10.00|DS|
|11111111|502|14.00|DS|
|11111111|502|8.50|EX|
|11111111|501|8.50|DS|
|11111111|501|18.50|EX|
|11111112|561|9.00|DS|
|11111112|561|7.00|EX|
|11111112|124|0.50|EX|
|11111112|124|8.50|DS|
|11111112|116|8.50|DS|
|11111112|116|7.50|EX|
|11111112|123|6.00|EX|
|11111112|123|6.00|DS|
|11111112|565|5.50|DS|
|11111112|565|5.00|EX|
|11111112|552|6.50|EX|
|11111112|552|6.00|DS|
|11111112|557|4.50|DS|
|11111112|557|3.00|EX|
|11111112|113|10.00|EX|
|11111112|113|9.00|DS|
|11111112|524|16.00|DS|
|11111112|524|11.00|EX|
|11111112|555|10.00|EX|
|11111112|555|4.00|DS|
|11111112|111|5.00|EX|
|11111112|111|1.50|DS|
|11111112|559|14.00|DS|
|11111112|559|12.50|EX|
|11111112|108|10.00|EX|
|11111112|108|1.50|DS|
|11111112|505|7.50|EX|
|11111112|505|14.50|DS|
|11111112|499|13.50|DS|
|11111112|499|11.50|EX|
|11111112|495|9.50|EX|
|11111112|495|1.50|DS|
|11111112|497|4.50|DS|
|11111112|497|2.50|EX|
|11111112|514|8.00|EX|
|11111112|514|10.75|DS|
|11111112|508|7.50|EX|
|11111112|508|8.00|DS|
|11111112|507|14.00|DS|
|11111112|507|12.50|EX|
|11111112|500|15.50|EX|
|11111112|500|12.50|DS|
|11111112|504|14.00|EX|
|11111112|504|10.50|DS|
|11111112|498|9.50|EX|
|11111112|498|8.00|DS|
|11111112|502|15.00|DS|
|11111112|502|10.50|EX|
|11111112|501|15.50|EX|
|11111112|501|12.00|DS|
